ID,long,lat,weight,location,commune,district,voivodeship
207159515,19.46525,50.1433607,L,Trzebinia,Trzebinia,chrzanowski,MAŁOPOLSKIE
212087848,20.9874718,50.1757493,L,Dąbrowa Tarnowska,Dąbrowa Tarnowska,dąbrowski,MAŁOPOLSKIE
207157652,20.9874441,50.1756937,C,Szarwark,Dąbrowa Tarnowska,dąbrowski,MAŁOPOLSKIE
212296789,20.9899163,50.1769993,L,Gręboszów,Gręboszów,dąbrowski,MAŁOPOLSKIE
207398487,20.7859163,50.232666,L,Gręboszów,Gręboszów,dąbrowski,MAŁOPOLSKIE
207193278,20.9285826,50.2000277,C,Olesno,Olesno,dąbrowski,MAŁOPOLSKIE
212152335,20.9192771,50.2323326,L,Olesno,Olesno,dąbrowski,MAŁOPOLSKIE
207419297,20.9053055,50.2283882,L,Olesno,Olesno,dąbrowski,MAŁOPOLSKIE
212205913,20.9445552,50.1808604,L,Olesno,Olesno,dąbrowski,MAŁOPOLSKIE
207155742,21.0930274,50.2807493,L,Zabrnie,Szczucin,dąbrowski,MAŁOPOLSKIE
212317036,21.1336941,50.345583,L,Zabrnie,Szczucin,dąbrowski,MAŁOPOLSKIE
207202636,20.9170826,49.6974996,C,Jankowa,Bobowa,gorlicki,MAŁOPOLSKIE
212319393,20.9116111,49.7154166,L,Jankowa,Bobowa,gorlicki,MAŁOPOLSKIE
207232254,21.1553611,49.6683882,L,Gorlice,Gorlice,gorlicki,MAŁOPOLSKIE
212305374,21.1498607,49.6610277,L,Gorlice,Gorlice,gorlicki,MAŁOPOLSKIE
207193387,21.1456107,49.6425552,L,Gorlice,Gorlice,gorlicki,MAŁOPOLSKIE
212099892,21.2858885,49.6375274,L,Rozdziele,Lipinki,gorlicki,MAŁOPOLSKIE
212133505,20.9998607,49.727416,C,Biesna,Łużna,gorlicki,MAŁOPOLSKIE
212254819,21.0256104,49.684583,L,Biesna,Łużna,gorlicki,MAŁOPOLSKIE
212228404,21.0325548,49.5775548,L,Ropa,Ropa,gorlicki,MAŁOPOLSKIE
207115700,21.045333,49.5851385,L,Ropa,Ropa,gorlicki,MAŁOPOLSKIE
207295053,20.2172771,50.0845274,S,Pobiednik Wielki,Igołomia-Wawrzeńczyce,krakowski,MAŁOPOLSKIE
207367397,20.0064722,50.2046666,C,Widoma,Iwanowice,krakowski,MAŁOPOLSKIE
207392249,19.4456941,50.1234437,L,Jerzmanowice,Jerzmanowice-Przeginia,krakowski,MAŁOPOLSKIE
212087391,20.087583,50.1509444,C,Baranówka,Kocmyrzów-Luborzyca,krakowski,MAŁOPOLSKIE
207084275,19.6050833,50.1304437,C,Wola Filipowska,Krzeszowice,krakowski,MAŁOPOLSKIE
207201320,19.7632777,50.058,L,Cholerzyn,Liszki,krakowski,MAŁOPOLSKIE
207404242,19.7837496,50.0521944,L,Cholerzyn,Liszki,krakowski,MAŁOPOLSKIE
207101135,19.8337218,49.9866107,C,Skawina,Skawina,krakowski,MAŁOPOLSKIE
207142120,19.8168048,49.9758048,C,Skawina,Skawina,krakowski,MAŁOPOLSKIE
212117699,19.7760271,49.9037777,C,Wola Radziszowska,Skawina,krakowski,MAŁOPOLSKIE
207148778,19.9814437,49.9315548,L,Rzeszotary,Świątniki Górne,krakowski,MAŁOPOLSKIE
212182988,19.8437496,50.1760548,C,Prądnik Korzkiewski,Wielka Wieś,krakowski,MAŁOPOLSKIE
207280151,19.8372218,50.1492774,C,Prądnik Korzkiewski,Wielka Wieś,krakowski,MAŁOPOLSKIE
212126936,19.7647222,50.1507777,C,Kobylany,Zabierzów,krakowski,MAŁOPOLSKIE
207370619,19.7123055,50.1217493,C,Kobylany,Zabierzów,krakowski,MAŁOPOLSKIE
212122939,19.7123611,50.1218326,L,Kobylany,Zabierzów,krakowski,MAŁOPOLSKIE
207122008,20.0451941,50.044333,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207127414,19.9091944,50.047833,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207153018,19.9982774,50.0741382,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207161650,19.9286937,50.0598611,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207169497,19.9544166,50.0478052,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207193093,19.936833,50.0289993,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207206040,19.9835274,50.0709437,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207216832,19.9667493,50.0969996,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207265357,19.936333,50.0709993,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207273989,19.9464441,50.0573055,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207276094,20.1843607,50.0801937,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207282884,19.9358885,50.0412496,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207351782,19.9215271,50.0808326,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207362644,19.9596944,50.0541388,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207377488,19.9845274,50.0631111,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207382623,19.9339996,50.0356107,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207406918,19.9118888,50.0310548,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207408794,19.9450552,50.0645833,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212039964,19.9416663,50.0599722,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212053692,20.0045277,50.0393885,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212081338,19.9061388,50.0569166,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
